Bank Name:,First National Bank of Omaha
Bank Code:,15545

,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31,1999-09-30,1999-06-30,1999-03-31,1998-12-31,1998-09-30,1998-06-30,1998-03-31,1997-12-31,1997-09-30,1997-06-30,1997-03-31,1996-12-31,1996-09-30,1996-06-30,1996-03-31,1995-12-31,1995-09-30,1995-06-30,1995-03-31,1994-12-31,1994-09-30,1994-06-30,1994-03-31,1993-12-31,1993-09-30,1993-06-30,1993-03-31,1992-12-31,1992-09-30,1992-06-30,1992-03-31,1991-12-31,1991-09-30,1991-06-30,1991-03-31,1990-12-31,1990-09-30,1990-06-30,1990-03-31,1989-12-31,1989-09-30,1989-06-30,1989-03-31,1988-12-31,1988-09-30,1988-06-30,1988-03-31,1987-12-31,1987-09-30,1987-06-30,1987-03-31,1986-12-31,1986-09-30,1986-06-30,1986-03-31,1985-12-31,1985-09-30,1985-06-30,1985-03-31,1984-12-31,1984-09-30,1984-06-30,1984-03-31
NIMY,2.8845142894059137,2.8465878642347127,2.7808939009269644,2.759661285080772,2.8200618746481827,2.8413845292818056,2.89656280243732,2.925761059966176,3.2154994761632327,3.2359678066828677,3.170540305326802,3.076129602681943,3.2977065958398284,3.3461386503016435,3.479500848960234,3.67936739568579,3.4913241881417068,3.6774816821114507,3.5354357048367735,2.9897447668606096,3.2242707039195087,3.2625665797716272,3.265060184248061,3.2701597918989225,3.436864317528259,3.3612136514883892,3.380883252750417,3.3971329521096023,3.531515299662449,3.460874837196195,3.4330372067480943,3.353753626923389,3.5385239570432776,3.532705087265886,3.530233082775533,3.487190991630991,3.5214271119801257,3.4397146282711217,3.457823831579479,3.331931755921665,3.607152026599658,3.561455060842721,3.510678146659471,3.4473804607223673,4.028696947607919,3.8730537511799836,3.7960733536527633,3.808247909471754,3.8841985440378908,3.9290090543850726,3.8525209007224346,3.8890796703296706,3.6878793108913963,3.805343407652464,3.6756960120391273,3.472556061420128,3.428607422821037,3.351560141621919,3.302569180662681,3.145415532886614,3.309088776886346,3.3083897648971585,3.279977874194049,3.28141225337487,3.4652023678182804,3.5113007904885687,3.41449735040421,3.6163953135073847,3.45805884120185,3.519899495916533,3.5784411520732506,3.2953859769097713,3.5730977911143325,3.6387693099897014,3.690627337078457,3.751119540593225,2.0452371681215196,1.410470495687887,3.9025931704619516,3.76445501517264,3.998871303307755,4.055395256390444,4.09302060068074,4.453891220612195,4.263336649012913,4.199938624004332,4.133461245023905,4.144289294665234,4.30033470378505,4.256623298999881,4.256935006795107,4.296979162698563,2.788560210592067,2.655578413787725,3.367487566660675,3.1888683782809824,3.6312953911923898,3.803695888831967,3.8195601914081383,3.9155625785016817,3.814527808473983,3.9934707212210707,3.5484271596614803,3.293801745356903,3.5818076140656787,3.670058603722263,3.5036761368793683,3.7286641053095675,4.014295276711318,4.121302351059615,4.061176189813249,3.994586392158471,4.2549226660040995,4.363348079787651,4.3991031390134525,4.10714688691806,4.334893256247276,4.325523890165719,4.359160857448735,4.208507970845266,4.034331674003374,4.018369042329167,3.902237592587813,3.8438747906737083,4.197182944745738,4.162098336178949,4.042998743543208,3.9883625681439425,4.115964992634589,4.122023905388976,4.02421804800822,4.367096858297484,5.022394225333739,5.1048858308131955,5.086716766908825,5.589158563662814,4.885683291791223,5.13007159151835,5.158010481671363,5.0916805576602515,5.25431233114366,4.874077665483019,5.248,5.036435753159303,5.06313062695868,4.930131673881674,4.866785612546299,4.636750707773245,4.692891021147596,4.8089505909484,4.819761952669141,4.8590183848436,5.110118033706739,5.235284561126531,5.340969862162964,5.659680059130986,5.52426833129778,4.333134088396997,4.3511363203776225,4.7989992608176495,4.724062458686487,4.31427075898168,3.7938742221953725,2.4361444285625504
ORE,0.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,78.0,78.0,145.0,153.0,153.0,153.0,213.0,226.0,261.0,249.0,270.0,121.0,158.0,208.0,199.0,168.0,226.0,118.0,118.0,118.0,118.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1143.0,1143.0,1143.0,1143.0,1721.0,1780.0,1943.0,1943.0,578.0,690.0,690.0,690.0,690.0,690.0,690.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,18.0,33.0,71.0,18.0,18.0,18.0,18.0,18.0,52.0,52.0,18.0,18.0,18.0,502.0,502.0,483.0,483.0,483.0,483.0,483.0,483.0,537.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,263.0,263.0,263.0,263.0,263.0,263.0,263.0,263.0,249.0,249.0,255.0,249.0,249.0,249.0,249.0,249.0,288.0,288.0,128.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0
OTHBRF,112315.0,145615.0,143687.0,127687.0,147287.0,168537.0,223794.0,149044.0,237888.0,174343.0,168151.0,81427.0,85377.0,88177.0,90284.0,90929.0,94729.0,96229.0,111739.0,104290.0,63066.0,61506.0,54276.0,59776.0,79126.0,82226.0,53186.0,39953.0,85853.0,63778.0,21513.0,21576.0,40326.0,57576.0,70646.0,19554.0,19554.0,15429.0,15429.0,15484.0,27184.0,13984.0,22430.0,14027.0,13129.0,20926.0,10562.0,11606.0,20353.0,13525.0,12822.0,6852.0,19548.0,6845.0,7742.0,7880.0,8876.0,11379.0,11384.0,11427.0,18131.0,14586.0,15140.0,12481.0,17186.0,18392.0,13498.0,7005.0,10386.0,7642.0,15284.0,8504.0,11860.0,9542.0,12073.0,9654.0,9460.0,9116.0,8700.0,5000.0,6900.0,6000.0,3500.0,3500.0,4490.0,5700.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,9000.0,3500.0,3815.0,7000.0,11000.0,8500.0,6500.0,5500.0,8500.0,6300.0,2500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,104.0,104.0,104.0,118.0,118.0,118.0,118.0,132.0,132.0,132.0,132.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LNRENROT,163409.0,167057.0,166260.0,175967.0,179679.0,182406.0,180489.0,158204.0,153404.0,156815.0,146503.0,144370.0,146763.0,138880.0,135576.0,134829.0,135145.0,114425.0,119219.0,116726.0,108489.0,98859.0,87353.0,87157.0,87241.0,89660.0,85288.0,90109.0,89991.0,77471.0,79196.0,74492.0,71310.0,52278.0,50299.0,52078.0,51225.0,39668.0,46863.0,45354.0,42360.0,38701.0,24393.0,24292.0,24091.0,24073.0,25188.0,19223.0,19481.0,17564.0,14280.0,11394.0,13280.0,12235.0,11743.0,8801.0,8277.0,7120.0,7292.0,7131.0,7827.0,6870.0,7841.0,7979.0,8910.0,6998.0,6444.0,6495.0,6582.0,5020.0,4916.0,6648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDT1RWAJR,10.443704425198094,10.407711892598705,10.306854341231126,10.122474814246807,10.020444928568436,9.895503456332705,10.173427841598691,10.327940438769655,10.326122153739782,10.10750116788646,9.748152024596061,9.590720482836664,9.7153425603314,10.193309903112297,10.434981137408812,10.168425586905018,10.071218031697162,10.262830951910477,9.767734583943296,9.651821631946051,9.855180498509736,9.892547380732129,10.393634551035131,10.580664185685851,10.631167148410245,10.543642635039845,10.81123402461815,10.550458715596331,10.375551584551985,10.338786617002656,10.409870918521634,10.516010793294459,9.997629681959092,10.150287248219444,10.077520653552675,10.36277887366988,10.257179460936038,10.4713649117016,9.854900780145558,9.74887205243892,9.754915684965434,9.786767403513156,9.810077916752103,9.800579968770911,9.46975615584702,9.657507565996465,10.303681596472082,9.820657110574475,9.340447091887292,9.67472840968428,9.554806229092787,10.212571990854629,10.488043531821734,9.517617412047457,9.812564858436417,9.888824977133211,10.300900505161433,10.01676759262226,9.478320352346778,10.20196789228379,10.190837595556289,9.701197262562463,10.46124153737127,9.293349616295023,8.937737786098195,9.160133658912736,9.006458022851465,9.07668769661859,8.869917026674894,9.168299198575244,9.042852125043906,9.403565762635038,9.124347858724619,9.318524824890678,9.582113918254395,10.062799361362426,10.045197020816092,10.767501966513091,13.600244498777506,16.105479928324996,14.729438340692063,16.418579878339358,16.55330775491222,16.64686664686665,15.349812403442947,15.345125830031806,16.380518570427473,15.08175857012423,14.974201645516663,13.722413444017006,13.71819217622484,12.977637335926106,10.739776451048167,5.3295902623007025,13.095407618369526,13.058035714285715,12.099735234078675,13.471349184658832,13.838188959984453,14.013934041711993,14.434616639882341,14.430928736180205,14.529506728802149,15.030039759501301,15.866387356180203,15.212171512518141,14.743397275507366,15.143720444359577,14.962794668244056,15.315737150580913,15.771846772661814,16.696609496751552,16.47924330005255,17.115183231683016,17.617823873561463,18.94912702521574,17.637527639537787,17.889166451677855,18.69713407254326,18.310084867413845,17.97934361017825,17.331594726819784,17.44624895401062,17.40697769309646,16.342216427995194,16.883430185118172,17.54663115965742,18.950095148675043,18.226940690179173,17.981136863826798,18.40836947673542,19.644117168135185,19.332498880798152,19.43645668609553,19.673511478186008,20.452498817112943,20.76302426766077,21.034317504636093,22.48984991560604,23.885015048116816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LNATRES,13788.0,13496.0,13507.0,13183.0,12858.0,12531.0,12210.0,11881.0,11556.0,11250.0,10941.0,10717.0,10424.0,10233.0,10030.0,9794.0,9875.0,9753.0,9583.0,8368.0,8237.0,7894.0,7558.0,7203.0,7704.0,7113.0,7054.0,6695.0,6827.0,7045.0,6694.0,6326.0,5881.0,5452.0,5110.0,4941.0,5232.0,2599.0,2558.0,2449.0,2309.0,2365.0,2256.0,2151.0,2035.0,1992.0,1802.0,1693.0,1642.0,1431.0,1245.0,1066.0,905.0,943.0,871.0,892.0,842.0,786.0,729.0,647.0,615.0,561.0,767.0,762.0,758.0,769.0,893.0,897.0,895.0,907.0,898.0,895.0,888.0,925.0,920.0,902.0,900.0,893.0,1097.0,1090.0,1087.0,1092.0,1083.0,1182.0,1153.0,1389.0,1423.0,1427.0,1433.0,1165.0,1196.0,1200.0,1193.0,1060.0,841.0,824.0,785.0,731.0,765.0,732.0,670.0,717.0,745.0,588.0,536.0,593.0,617.0,637.0,619.0,650.0,692.0,664.0,632.0,605.0,618.0,575.0,538.0,529.0,620.0,526.0,464.0,451.0,493.0,579.0,439.0,414.0,409.0,373.0,427.0,393.0,351.0,253.0,256.0,367.0,292.0,232.0,256.0,285.0,269.0,273.0,256.0,229.0,269.0,276.0,256.0,300.0,285.0,282.0,256.0,212.0,158.0,244.0,224.0,126.0,162.0,213.0,209.0,136.0,203.0,215.0,167.0,99.0,181.0,177.0
ELNATR,1276.0,957.0,638.0,319.0,1271.0,952.0,638.0,319.0,1165.0,861.0,558.0,254.0,1150.0,925.0,700.0,475.0,1729.0,1609.0,1439.0,318.0,2581.0,1983.0,1171.0,323.0,2656.0,2103.0,840.0,420.0,3574.0,2968.0,2272.0,1293.0,2537.0,730.0,375.0,150.0,690.0,315.0,240.0,135.0,430.0,315.0,210.0,105.0,410.0,345.0,240.0,135.0,740.0,545.0,350.0,165.0,265.0,190.0,120.0,60.0,185.0,125.0,70.0,30.0,45.0,15.0,0.0,0.0,-125.0,-125.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,-32.0,-19.0,-150.0,-150.0,-150.0,0.0,-320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6882.0,6697.0,75.0,45.0,180.0,135.0,90.0,45.0,350.0,313.0,275.0,38.0,337.0,307.0,277.0,30.0,120.0,90.0,60.0,30.0,120.0,90.0,60.0,30.0,120.0,90.0,60.0,30.0,120.0,90.0,60.0,30.0,120.0,90.0,60.0,30.0,285.0,255.0,225.0,30.0,243.0,105.0,90.0,75.0,57.0,45.0,30.0,15.0,3.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,142.0,90.0,60.0,30.0,76.0,0.0,0.0,0.0,277.0,227.0,203.0,77.0,543.0,99.0,0.0,0.0
RBC1AAJ,9.656318076160108,9.768801048641897,9.666662801887558,9.608681329024567,9.494822622622305,9.469025182652835,9.6091970493994,9.78883440766059,9.749321372962397,9.484277670412936,9.231629708229384,8.94007596196283,8.929268110468254,8.977328632338471,9.068645513863457,9.298679607979075,9.533829014750387,9.418433537048,9.252349844501973,9.28593182697013,9.231472988979892,9.448593315903258,9.597459293636435,9.841990239789302,9.786211352193765,9.598184075080916,9.662508681543333,9.471396816742509,9.514681292221256,9.369797376862794,9.044906429932817,9.083029109621869,8.925392827653738,8.873343459539305,8.877004573611996,9.12313743715021,9.326034149143384,9.39921246077859,8.881201579535636,9.002691688468504,9.109008456425778,8.639097476778533,8.473075433062151,8.725042795127512,9.380178080445747,9.590882263960046,9.149703085830692,9.524397842762296,9.28787743831834,8.924302320800267,9.014153986263423,9.46140697791333,11.4943681530628,9.033339858878003,9.157681825194123,9.224936444964419,9.549105986006738,9.08219390324205,8.42669056611826,8.522992497125227,8.84962091815414,7.878045007199725,8.484566844396616,7.6313574010795815,7.539864486219369,7.286994082991476,7.319239412738357,7.144210212973236,7.285066599081974,7.183623348171301,7.407673826410968,7.424030059940953,7.269736842105264,7.456147141242588,7.610208082980203,7.653325561815945,7.625644329896907,8.312801471353715,10.063144710978133,11.038199281472249,10.521104550955297,10.797706616521948,10.68420163968257,10.705963250181457,10.646155023630484,10.471602916817394,10.897224218643771,10.451338292813867,10.392953929539296,10.512030089765215,9.918353897411489,9.335221709329975,8.013867256192533,3.46422253485813,9.953863430341897,9.67225792687805,9.867725231103114,10.121925133689839,10.187726264159757,10.089672871006755,10.29099905749293,10.457011243446374,10.27850130234422,10.52340378444174,11.340172557206465,11.025154400411735,10.742181169988656,10.828915662650603,11.19549363778102,11.401294665086969,11.405521941720565,12.023543127926436,12.34548460751122,12.717247013172676,12.754432384008,12.559206786939772,12.43317517229534,12.822478802092729,12.264484741264928,12.478215406064832,12.228172293364377,12.078743085576162,12.007522331922896,11.731509600899113,11.75476825894278,11.978956906967378,11.858762519701052,11.943571183261565,11.809401503598469,12.174647887323943,12.613995218841307,13.257020757020758,13.224586731664637,13.732813858389415,13.680471037136938,14.044649407818888,14.22929120409906,14.997771504976972,14.752749307997307,15.06758340495351,15.413416536661467,15.50711130921026,15.208956430361328,15.083705590113974,15.394459810923502,15.073364123104591,14.40798280128179,13.79393355801637,14.152566102644107,14.22065824880977,13.9624041553302,14.510016242555496,14.739583333333334,15.670048051254671,15.850912266188704,15.674321897741233,17.37149595326151,16.06723789772417,15.231026552372986,15.492661370929559,15.43223052294557,17.034373808356484,16.67849151339846,15.96218020022247
CHBALI,13773.0,12948.0,21081.0,11004.0,14195.0,13365.0,15817.0,12444.0,19059.0,9257.0,15452.0,27367.0,8682.0,29305.0,70169.0,66953.0,34917.0,7780.0,11433.0,11961.0,45392.0,53765.0,19532.0,16344.0,28251.0,16187.0,18251.0,18093.0,19014.0,19026.0,27047.0,54848.0,22908.0,20989.0,22944.0,26435.0,24472.0,17977.0,11247.0,16526.0,1717.0,1318.0,3638.0,14213.0,379.0,127.0,462.0,7750.0,426.0,121.0,226.0,118.0,194.0,156.0,223.0,10389.0,266.0,3054.0,2932.0,2623.0,120.0,140.0,144.0,948.0,107.0,120.0,140.0,122.0,122.0,134.0,144.0,136.0,121.0,126.0,129.0,130.0,123.0,135.0,137.0,248.0,152.0,127.0,148.0,1629.0,130.0,144.0,738.0,1329.0,128.0,125.0,120.0,116.0,114.0,125.0,128.0,129.0,130.0,123.0,117.0,117.0,122.0,121.0,676.0,1055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,300.0,300.0,300.0,900.0,300.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHTMRES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,86180.0,89738.0,88569.0,90898.0,91300.0,90553.0,94626.0,99459.0,102687.0,104231.0,110330.0,117976.0,128789.0,130567.0,106171.0,91488.0,75186.0,58573.0,62447.0,63146.0,65274.0,64285.0,58011.0,69778.0,59963.0,74786.0,78382.0,81078.0,84633.0,87482.0,89989.0,92494.0,98010.0,102623.0,113537.0,107092.0,73810.0,28436.0,26335.0,26549.0,29632.0,30887.0,31978.0,25556.0,4023.0,4067.0,4333.0,4782.0,5048.0,5216.0,6378.0,7707.0,8281.0,6748.0,7125.0,7467.0,7795.0,8029.0,11316.0,11509.0,13508.0,14239.0,14545.0,14825.0,12289.0,12806.0,13704.0,11039.0,8441.0,8781.0,9148.0,9664.0,10044.0,10450.0,10976.0,11493.0,11977.0,12672.0,13301.0,13761.0,15111.0,15976.0,17311.0,15581.0,13457.0,12560.0,10700.0,9963.0,6879.0,5190.0,6187.0,6294.0,6590.0,7323.0,8749.0,10807.0,15073.0,15508.0,16107.0,17434.0,17532.0,17178.0,15374.0,13240.0,11708.0,12563.0,12986.0,12720.0,13113.0,12905.0,12337.0,11006.0,10771.0,10909.0,11802.0,11746.0,11182.0,11550.0,12055.0,12693.0,12575.0,11345.0,11048.0,10872.0,11327.0,11826.0,12475.0,11813.0,11035.0,10351.0,9891.0,9090.0,7661.0,6382.0,6861.0,7262.0,6534.0,7332.0,7531.0,7930.0,8329.0,8778.0,9376.0,10209.0,11058.0,12122.0,13161.0,13609.0,15089.0,13849.0,14689.0,15107.0,14697.0,13890.0,13465.0,13368.0,12390.0,10509.0,10310.0,9928.0,9445.0,9975.0,9789.0,9021.0
NTLNLS,31.0,4.0,-10.0,-6.0,-31.0,-22.0,-16.0,-5.0,33.0,36.0,41.0,-39.0,601.0,567.0,545.0,556.0,91.0,93.0,94.0,187.0,2048.0,1793.0,1317.0,824.0,1399.0,1437.0,613.0,552.0,2628.0,1804.0,1459.0,642.0,1887.0,509.0,496.0,440.0,266.0,25.0,-9.0,-5.0,156.0,-15.0,-11.0,-11.0,17.0,-5.0,80.0,84.0,3.0,19.0,10.0,4.0,202.0,89.0,91.0,10.0,-42.0,-46.0,-44.0,-2.0,187.0,211.0,-10.0,-5.0,13.0,1.0,1.0,-2.0,-8.0,-20.0,-11.0,-8.0,14.0,-24.0,-19.0,-1.0,-14.0,-9.0,-42.0,-22.0,-84.0,-89.0,-80.0,-29.0,-40.0,44.0,9.0,6.0,-240.0,29.0,-4.0,-7.0,6474.0,6422.0,19.0,6.0,65.0,74.0,-5.0,-17.0,216.0,131.0,66.0,-15.0,420.0,333.0,279.0,12.0,133.0,72.0,0.0,-2.0,26.0,24.0,-20.0,-6.0,46.0,25.0,-96.0,-32.0,95.0,78.0,6.0,-110.0,108.0,104.0,78.0,84.0,114.0,118.0,131.0,33.0,243.0,-6.0,54.0,99.0,57.0,16.0,17.0,-2.0,3.0,27.0,-13.0,-20.0,71.0,-44.0,-29.0,-26.0,110.0,102.0,126.0,10.0,76.0,98.0,61.0,10.0,235.0,258.0,190.0,29.0,485.0,148.0,-17.0,-12.0
